Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Federica TOMBOLATO POSITION,Federica TOMBOLATO LAP TIME,Federica TOMBOLATO ELAPSED TIME
1,14.88,,2,14.98,,4,15.28,,3,15.11,15.11
1,11.30,,2,11.31,,2,11.01,,4,11.25,26.36
1,10.21,,3,10.38,,2,10.23,,4,10.43,36.79
1,10.02,,2,9.80,,4,10.21,,3,9.89,46.68
1,9.79,,2,9.74,,4,9.90,,3,9.69,56.37
2,10.00,,1,9.87,,4,9.80,,3,9.95,1:06.32
2,9.86,,1,9.86,,4,9.72,,3,9.82,1:16.14
2,9.91,,1,9.98,,4,11.34,,3,10.02,1:26.16
1,10.31,,3,24.00,,2,12.53,,4,23.80,1:49.96
