Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,LIM Yong Jin POSITION,LIM Yong Jin LAP TIME,LIM Yong Jin ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME
4,10.23,10.23,2,9.89,9.89,6,10.58,10.58,3,10.09,10.09,5,10.39,10.39,1,9.75,9.75
5,13.45,23.68,3,13.48,23.37,6,13.22,23.80,4,13.46,23.55,1,12.33,22.72,2,13.38,23.13
6,11.47,35.15,2,11.52,34.89,4,11.23,35.03,5,11.52,35.07,1,12.10,34.82,3,11.81,34.94
5,11.64,46.79,4,11.76,46.65,1,11.23,46.26,6,11.86,46.93,2,11.57,46.39,3,11.60,46.54
5,10.94,57.73,3,10.80,57.45,1,10.96,57.22,6,10.95,57.88,2,10.95,57.34,4,11.06,57.60
5,10.58,1:08.31,3,10.67,1:08.12,1,10.70,1:07.92,6,10.57,1:08.45,2,10.70,1:08.04,4,10.58,1:08.18
5,10.68,1:18.99,3,10.63,1:18.75,1,10.65,1:18.57,6,10.67,1:19.12,2,10.55,1:18.59,4,10.70,1:18.88
5,9.92,1:28.91,3,9.94,1:28.69,2,10.02,1:28.59,6,9.90,1:29.02,1,9.88,1:28.47,4,9.95,1:28.83
5,9.69,1:38.60,3,9.69,1:38.38,2,9.68,1:38.27,6,9.61,1:38.63,1,9.66,1:38.13,4,9.68,1:38.51
5,9.50,1:48.10,3,9.38,1:47.76,2,9.46,1:47.73,6,9.50,1:48.13,1,9.52,1:47.65,4,9.46,1:47.97
6,9.46,1:57.56,2,9.34,1:57.10,4,9.47,1:57.20,3,9.00,1:57.13,1,9.34,1:56.99,5,9.52,1:57.49
5,9.69,2:07.25,3,9.32,2:06.42,2,9.03,2:06.23,1,8.90,2:06.03,4,9.54,2:06.53,6,9.76,2:07.25
5,9.97,2:17.22,3,9.31,2:15.73,2,9.08,2:15.31,1,9.27,2:15.30,4,9.53,2:16.06,6,10.56,2:17.81
5,10.31,2:27.529,3,9.67,2:25.399,1,9.64,2:24.944,2,9.76,2:25.052,4,10.04,2:26.100,6,11.48,2:29.289
