Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Andrej VALACH POSITION,Andrej VALACH LAP TIME,Andrej VALACH ELAPSED TIME
2,6.89,6.89,3,7.08,7.08,1,6.60,6.60,4,7.24,7.24
2,8.89,15.78,3,8.94,16.02,1,8.83,15.43,4,9.11,16.35
2,8.41,24.19,3,8.29,24.31,1,8.72,24.15,4,22.29,38.64
1,8.94,33.13,3,8.94,33.25,2,9.03,33.18,4,16.64,55.28
1,8.96,42.089,2,8.91,42.154,3,9.87,43.047,4,12.83,1:08.110
