Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
1,12.64,12.64,4,12.80,12.80,2,12.72,12.72,3,12.79,12.79
1,9.55,22.19,4,9.65,22.45,3,9.64,22.36,2,9.48,22.27
1,9.78,31.97,3,9.74,32.19,4,9.94,32.30,2,9.83,32.10
1,9.24,41.21,2,9.09,41.28,4,9.11,41.41,3,9.20,41.30
1,8.93,50.14,3,9.15,50.43,2,8.86,50.27,4,26.18,1:07.48
1,8.98,59.12,3,8.92,59.35,2,8.95,59.22,4,15.90,1:23.38
2,8.96,1:08.08,3,8.82,1:08.17,1,8.84,1:08.06,4,12.24,1:35.62
2,9.15,1:17.23,3,9.15,1:17.32,1,9.11,1:17.17,4,11.39,1:47.01
2,9.60,1:26.827,0,,PEN,1,9.31,1:26.481,0,,PEN
