Marco Fritz SCHUMANN POSITION,Marco Fritz SCHUMANN LAP TIME,Marco Fritz SCHUMANN ELAPSED TIME,Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME,de ROSE Ethan POSITION,de ROSE Ethan LAP TIME,de ROSE Ethan ELAPSED TIME,Georgi ORLOV POSITION,Georgi ORLOV LAP TIME,Georgi ORLOV ELAPSED TIME,Augusto DUZIONI POSITION,Augusto DUZIONI LAP TIME,Augusto DUZIONI ELAPSED TIME
5,15.99,15.99,1,15.46,15.46,4,15.79,15.79,3,15.65,15.65,2,15.58,15.58
2,11.35,27.34,1,11.86,27.32,5,11.82,27.61,4,11.85,27.50,3,11.81,27.39
3,11.51,38.85,1,11.42,38.74,4,11.40,39.01,5,11.61,39.11,2,11.45,38.84
2,10.63,49.48,1,10.69,49.43,4,10.64,49.65,5,10.66,49.77,3,10.72,49.56
1,9.56,59.04,2,9.70,59.13,4,9.75,59.40,5,9.69,59.46,3,9.76,59.32
1,9.43,1:08.47,4,9.56,1:08.69,3,9.24,1:08.64,5,9.36,1:08.82,2,9.29,1:08.61
1,9.20,1:17.67,3,9.34,1:18.03,2,9.29,1:17.93,4,9.36,1:18.18,5,9.84,1:18.45
1,9.27,1:26.94,2,9.14,1:27.17,3,9.47,1:27.40,4,9.41,1:27.59,5,9.28,1:27.73
1,9.50,1:36.409,2,9.42,1:36.558,3,9.25,1:36.621,4,9.40,1:36.980,5,9.66,1:37.374
