WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME
1,7.37,7.37,2,7.44,7.44,3,7.45,7.45,4,7.59,7.59
1,9.83,17.20,2,9.79,17.23,3,9.91,17.36,4,9.79,17.38
2,9.52,26.72,1,9.36,26.59,3,9.43,26.79,4,9.42,26.80
2,9.50,36.22,1,9.54,36.13,4,9.64,36.43,3,9.52,36.32
3,10.70,46.911,1,9.70,45.827,2,9.64,46.063,0,,PEN
