FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
3,14.58,14.58,1,14.37,14.37,2,14.49,14.49,4,14.70,14.70
3,11.62,26.20,1,11.60,25.97,2,11.61,26.10,4,11.66,26.36
4,11.09,37.29,1,11.11,37.08,1,10.98,37.08,3,10.87,37.23
3,9.79,47.08,4,10.01,47.09,2,9.93,47.01,1,9.67,46.90
3,9.74,56.82,4,9.79,56.88,2,9.71,56.72,1,9.74,56.64
2,9.27,1:06.09,4,9.44,1:06.32,2,9.37,1:06.09,1,9.34,1:05.98
2,9.01,1:15.10,4,8.98,1:15.30,3,9.10,1:15.19,1,9.01,1:14.99
3,8.88,1:23.98,4,8.94,1:24.24,2,8.75,1:23.94,1,8.89,1:23.88
3,9.00,1:32.98,4,9.02,1:33.26,2,8.91,1:32.85,1,8.89,1:32.77
