MA Yunfeng POSITION,MA Yunfeng LAP TIME,MA Yunfeng ELAPSED TIME,Tamas TUTRAI POSITION,Tamas TUTRAI LAP TIME,Tamas TUTRAI ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME
0,9.528,9.528,0,8.856,8.856,0,8.869,8.869,0,9.290,9.290,0,9.155,9.155,0,8.775,8.775
0,12.949,22.477,0,12.925,21.781,0,12.985,21.854,0,12.425,21.714,0,12.907,22.062,0,13.130,21.906
0,11.316,33.793,0,11.346,33.126,0,11.437,33.291,0,11.279,32.993,0,11.331,33.392,0,11.571,33.477
0,11.898,45.691,0,11.898,45.025,0,11.808,45.099,0,11.895,44.888,0,12.582,45.974,0,11.833,45.310
0,12.194,57.886,0,12.169,57.194,0,12.258,57.357,0,12.149,57.037,0,11.219,57.193,0,12.130,57.440
0,11.321,1:09.206,0,11.633,1:08.827,0,11.527,1:08.883,0,11.790,1:08.827,0,11.779,1:08.971,0,11.324,1:08.763
0,10.226,1:19.432,0,10.141,1:18.968,0,10.153,1:19.036,0,10.424,1:19.251,0,10.121,1:19.093,0,10.465,1:19.228
0,9.941,1:29.373,0,10.745,1:29.713,0,10.528,1:29.564,0,10.754,1:30.005,0,10.903,1:29.996,0,9.804,1:29.032
0,9.945,1:39.318,0,9.920,1:39.632,0,9.924,1:39.488,0,9.957,1:39.961,0,10.128,1:40.124,0,10.261,1:39.293
0,10.265,1:49.583,0,10.243,1:49.876,0,10.180,1:49.668,0,10.177,1:50.138,0,10.605,1:50.729,0,10.103,1:49.396
0,9.949,1:59.531,0,9.906,1:59.782,0,9.917,1:59.585,0,10.083,2:00.221,0,11.852,2:02.581,0,10.339,1:59.736
0,9.863,2:09.394,0,9.855,2:09.636,0,9.915,2:09.500,0,10.561,2:10.782,0,12.007,2:14.587,0,9.633,2:09.369
0,9.842,2:19.237,0,9.915,2:19.551,0,9.912,2:19.412,0,11.298,2:22.081,0,12.168,2:26.756,0,10.017,2:19.385
0,,,0,,,0,,,0,,,0,,,0,,
