Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME,Zbigniew BRODKA POSITION,Zbigniew BRODKA LAP TIME,Zbigniew BRODKA ELAPSED TIME,Robbert-Kees BOER POSITION,Robbert-Kees BOER LAP TIME,Robbert-Kees BOER ELAPSED TIME
3,14.137,14.137,1,14.082,14.082,4,14.193,14.193,2,14.131,14.131
1,11.285,25.421,2,11.429,25.510,3,11.433,25.625,4,11.497,25.628
2,11.214,36.635,3,11.166,36.676,1,10.787,36.411,4,11.210,36.838
2,10.136,46.770,3,10.095,46.770,1,10.160,46.571,4,10.077,46.915
2,9.660,56.430,3,9.680,56.449,1,9.608,56.178,4,9.686,56.600
3,9.493,1:05.922,2,9.433,1:05.882,1,9.610,1:05.787,4,9.592,1:06.192
2,9.489,1:15.411,1,9.438,1:15.319,3,9.630,1:15.417,4,9.348,1:15.540
1,10.231,1:25.642,2,10.329,1:25.647,3,10.616,1:26.032,4,10.509,1:26.048
2,10.69,1:36.329,1,9.70,1:35.340,3,11.09,1:37.113,4,25.77,1:51.809
