CANADA POSITION,CANADA LAP TIME,CANADA ELAPSED TIME,ITALY POSITION,ITALY LAP TIME,ITALY ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME
2,12.78,12.78,1,12.52,12.52,3,13.18,13.18
1,8.93,21.71,2,9.29,21.81,3,8.96,22.14
1,9.14,30.85,2,9.23,31.04,3,9.35,31.49
1,9.18,40.03,2,9.19,40.23,3,9.23,40.72
1,9.30,49.33,2,9.47,49.70,3,9.45,50.17
1,9.23,58.56,2,9.45,59.15,3,9.36,59.53
1,9.21,1:07.77,2,9.19,1:08.34,3,9.45,1:08.98
1,9.23,1:17.00,2,9.26,1:17.60,3,9.38,1:18.36
1,9.20,1:26.20,2,9.36,1:26.96,3,9.33,1:27.69
1,9.34,1:35.54,2,9.22,1:36.18,3,9.53,1:37.22
1,9.27,1:44.81,2,9.14,1:45.32,3,9.78,1:47.00
1,9.30,1:54.11,2,9.96,1:55.28,3,9.70,1:56.70
1,9.28,2:03.39,2,9.37,2:04.65,3,9.58,2:06.28
1,9.38,2:12.77,2,9.33,2:13.98,3,9.49,2:15.77
1,9.33,2:22.10,2,9.46,2:23.44,3,10.87,2:26.64
1,9.34,2:31.44,2,9.37,2:32.81,3,7.86,2:34.50
1,9.38,2:40.82,2,9.57,2:42.38,3,10.83,2:45.33
1,9.37,2:50.19,2,9.77,2:52.15,3,10.05,2:55.38
1,9.40,2:59.59,2,9.56,3:01.71,3,9.79,3:05.17
1,9.34,3:08.93,2,9.06,3:10.77,3,9.69,3:14.86
1,9.39,3:18.32,2,9.91,3:20.68,3,10.06,3:24.92
1,9.52,3:27.84,2,9.73,3:30.41,3,9.78,3:34.70
1,9.38,3:37.22,2,9.48,3:39.89,3,10.17,3:44.87
1,9.26,3:46.48,2,10.22,3:50.11,3,10.20,3:55.07
1,9.45,3:55.93,2,9.75,3:59.86,3,9.84,4:04.91
1,9.33,4:05.26,2,9.57,4:09.43,3,9.88,4:14.79
1,9.42,4:14.677,2,9.73,4:19.151,3,10.05,4:24.838
