BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Andrey STARZHINSKIY POSITION,Andrey STARZHINSKIY LAP TIME,Andrey STARZHINSKIY ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
4,13.70,13.70,2,13.38,13.38,1,13.23,13.23,3,13.51,13.51
4,10.16,23.86,2,10.27,23.65,1,10.26,23.49,3,10.23,23.74
4,10.07,33.93,2,10.07,33.72,1,10.11,33.60,3,10.08,33.82
4,10.27,44.20,2,10.29,44.01,1,10.29,43.89,3,10.27,44.09
4,10.04,54.24,2,10.01,54.02,1,10.02,53.91,3,10.03,54.12
4,9.65,1:03.89,2,9.66,1:03.68,1,9.67,1:03.58,3,9.67,1:03.79
4,9.33,1:13.22,2,9.42,1:13.10,1,9.41,1:12.99,3,9.37,1:13.16
3,9.15,1:22.37,2,9.25,1:22.35,1,9.20,1:22.19,4,9.31,1:22.47
2,9.42,1:31.790,4,9.66,1:32.002,1,9.48,1:31.668,3,9.36,1:31.825
