Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME
1,12.01,12.01,2,12.17,12.17,3,12.37,12.37,4,12.75,12.75,5,12.83,12.83
1,9.05,21.06,2,8.99,21.16,3,8.94,21.31,5,8.80,21.55,4,8.71,21.54
1,8.94,30.00,2,8.94,30.10,3,8.91,30.22,5,8.88,30.43,4,8.77,30.31
1,8.91,38.91,2,8.90,39.00,3,8.88,39.10,5,8.89,39.32,4,8.88,39.19
1,8.94,47.85,2,8.87,47.87,4,9.01,48.11,5,8.97,48.29,3,8.84,48.03
3,9.02,56.87,1,8.84,56.71,4,8.99,57.10,5,9.23,57.52,2,8.80,56.83
3,9.08,1:05.95,1,9.01,1:05.72,4,9.18,1:06.28,5,9.55,1:07.07,2,8.99,1:05.82
3,9.17,1:15.12,2,9.17,1:14.89,4,9.41,1:15.69,5,9.99,1:17.06,1,9.06,1:14.88
3,9.45,1:24.57,2,9.26,1:24.15,4,9.70,1:25.398,5,10.11,1:27.171,1,9.17,1:24.05
