Olga MASKAIKINA POSITION,Olga MASKAIKINA LAP TIME,Olga MASKAIKINA ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME
2,13.908,13.908,3,14.420,14.420,1,13.707,13.707
2,10.150,24.058,3,10.216,24.636,1,10.222,23.929
2,10.148,34.206,3,9.881,34.517,1,10.166,34.095
2,10.255,44.461,3,10.284,44.800,1,10.252,44.346
2,10.288,54.749,3,10.277,55.077,1,10.263,54.609
2,10.254,1:05.003,3,10.163,1:05.241,1,10.308,1:04.917
2,10.436,1:15.439,3,10.356,1:15.596,1,10.373,1:15.290
2,10.426,1:25.865,3,10.437,1:26.034,1,10.484,1:25.774
3,10.874,1:36.740,2,10.684,1:36.717,1,10.758,1:36.532
