Brandon KIM POSITION,Brandon KIM LAP TIME,Brandon KIM ELAPSED TIME,GIORDANO Marco POSITION,GIORDANO Marco LAP TIME,GIORDANO Marco ELAPSED TIME,Augustin GERE POSITION,Augustin GERE LAP TIME,Augustin GERE ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME
1,6.93,6.93,3,7.21,7.21,2,7.03,7.03,4,7.30,7.30
1,8.91,15.84,4,9.12,16.33,2,8.93,15.96,3,8.79,16.09
1,8.66,24.50,4,8.66,24.99,2,8.56,24.52,3,8.55,24.64
3,8.88,33.38,4,8.73,33.72,1,8.72,33.24,2,8.64,33.28
3,8.99,42.371,4,8.93,42.658,2,9.09,42.336,1,8.78,42.06
