Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME
1,11.38,11.38,4,11.71,11.71,2,11.55,11.55,3,11.59,11.59
1,15.44,26.82,3,15.79,27.50,2,15.66,27.21,4,16.98,28.57
1,15.09,41.91,4,14.93,42.43,2,14.96,42.17,3,13.74,42.31
1,15.28,57.19,4,15.29,57.72,3,15.19,57.36,2,14.93,57.24
3,13.95,1:11.14,4,13.64,1:11.36,1,13.68,1:11.04,2,13.87,1:11.11
2,12.67,1:23.81,4,12.70,1:24.06,1,12.71,1:23.75,3,12.74,1:23.85
1,10.66,1:34.47,4,10.48,1:34.54,3,10.77,1:34.52,2,10.62,1:34.47
1,9.56,1:44.03,4,9.90,1:44.44,2,9.70,1:44.22,3,9.83,1:44.30
1,9.55,1:53.58,4,9.55,1:53.99,2,9.60,1:53.82,3,9.63,1:53.93
1,9.77,2:03.35,4,9.80,2:03.79,2,9.77,2:03.59,3,9.84,2:03.77
1,9.18,2:12.53,3,9.03,2:12.82,2,9.07,2:12.66,4,9.11,2:12.88
1,8.81,2:21.34,3,8.76,2:21.58,2,8.83,2:21.49,4,8.80,2:21.68
1,8.78,2:30.12,3,8.91,2:30.49,2,8.81,2:30.30,4,8.84,2:30.52
2,9.11,2:39.229,1,8.65,2:39.138,4,9.32,2:39.620,3,9.10,2:39.617
