David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME
3,7.41,7.41,2,7.33,7.33,1,6.98,6.98
2,9.78,17.20,3,9.96,17.29,1,9.24,16.22
2,8.59,25.80,3,9.22,26.52,1,8.85,25.07
2,9.17,34.97,3,9.18,35.70,1,8.98,34.06
2,9.75,44.713,3,9.52,45.213,1,9.89,43.949
