Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME,Anne-Sophie DAVREUX POSITION,Anne-Sophie DAVREUX LAP TIME,Anne-Sophie DAVREUX ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME
5,9.61,9.61,1,9.18,9.18,3,9.44,9.44,6,9.67,9.67,2,9.33,9.33,4,9.56,9.56
6,13.73,23.34,1,13.65,22.83,3,13.68,23.12,4,13.59,23.26,2,13.66,22.99,5,13.71,23.27
6,11.64,34.98,2,11.83,34.66,4,11.64,34.76,3,11.46,34.72,1,11.59,34.58,5,11.59,34.86
6,12.04,47.02,2,11.99,46.65,3,11.96,46.72,4,12.05,46.77,1,11.98,46.56,5,12.01,46.87
6,10.89,57.91,3,10.91,57.56,1,10.65,57.37,4,10.88,57.65,2,10.93,57.49,5,10.86,57.73
6,11.10,1:09.01,3,11.08,1:08.64,2,11.23,1:08.60,5,11.18,1:08.83,1,11.09,1:08.58,4,11.01,1:08.74
6,10.31,1:19.32,1,10.13,1:18.77,4,10.49,1:19.09,5,10.36,1:19.19,2,10.34,1:18.92,3,10.26,1:19.00
6,10.64,1:29.96,1,10.69,1:29.46,4,10.63,1:29.72,5,10.63,1:29.82,2,10.65,1:29.57,3,10.65,1:29.65
6,10.58,1:40.54,3,10.73,1:40.19,4,10.53,1:40.25,5,10.56,1:40.38,2,10.55,1:40.12,1,10.41,1:40.06
6,10.33,1:50.87,3,10.40,1:50.59,4,10.43,1:50.68,5,10.46,1:50.84,2,10.42,1:50.54,1,10.00,1:50.06
3,10.10,2:00.97,4,10.40,2:00.99,2,10.20,2:00.88,6,10.55,2:01.39,5,10.73,2:01.27,1,10.18,2:00.24
2,10.06,2:11.03,4,10.32,2:11.31,3,10.31,2:11.19,6,10.84,2:12.23,5,10.87,2:12.14,1,10.29,2:10.53
2,10.31,2:21.34,4,10.49,2:21.80,3,10.51,2:21.70,5,10.97,2:23.20,6,11.40,2:23.54,1,10.39,2:20.92
2,10.85,2:32.182,4,10.67,2:32.463,3,10.74,2:32.438,5,11.05,2:34.242,6,11.92,2:35.460,1,10.69,2:31.601
