BYUN Chun-Sa POSITION,BYUN Chun-Sa LAP TIME,BYUN Chun-Sa ELAPSED TIME,ZHU Mi Lei POSITION,ZHU Mi Lei LAP TIME,ZHU Mi Lei ELAPSED TIME,Melanie de LANGE POSITION,Melanie de LANGE LAP TIME,Melanie de LANGE ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME
4,9.481,9.481,3,9.339,9.339,1,9.237,9.237,2,9.255,9.255,5,9.597,9.597
4,12.706,22.186,3,12.824,22.163,1,12.673,21.909,2,12.663,21.918,5,12.716,22.313
4,12.592,34.778,3,12.425,34.587,1,12.448,34.357,2,12.459,34.377,5,12.539,34.851
4,12.489,47.267,3,12.583,47.170,1,12.586,46.943,2,12.655,47.032,5,12.621,47.471
4,12.739,1:00.005,3,12.668,59.837,1,12.598,59.540,2,12.617,59.648,5,12.704,1:00.175
4,12.038,1:12.043,3,12.161,1:11.997,1,12.231,1:11.770,2,12.214,1:11.862,5,12.094,1:12.268
3,10.954,1:22.997,4,11.060,1:23.057,1,11.078,1:22.848,2,11.086,1:22.947,5,10.973,1:23.240
4,10.352,1:33.348,3,10.196,1:33.253,1,10.246,1:33.094,2,10.276,1:33.223,5,10.313,1:33.553
1,9.761,1:43.108,2,10.061,1:43.314,5,10.426,1:43.520,3,10.283,1:43.506,4,9.967,1:43.520
1,10.280,1:53.388,2,10.172,1:53.486,4,10.302,1:53.821,5,10.465,1:53.971,3,10.112,1:53.632
2,10.428,2:03.815,1,10.144,2:03.629,5,10.556,2:04.377,4,10.334,2:04.304,3,10.418,2:04.049
2,10.394,2:14.208,1,10.535,2:14.163,5,10.487,2:14.863,4,10.418,2:14.721,3,10.483,2:14.531
1,10.518,2:24.725,2,10.568,2:24.731,4,10.591,2:25.454,5,10.757,2:25.477,3,10.595,2:25.125
2,10.13,2:34.849,1,10.12,2:34.845,4,11.10,2:36.547,5,11.25,2:36.724,3,10.99,2:36.108
