Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,Olga MASKAIKINA POSITION,Olga MASKAIKINA LAP TIME,Olga MASKAIKINA ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME
2,13.910,13.910,1,13.440,13.440,3,14.040,14.040,4,14.210,14.210
2,10.940,24.860,1,11.280,24.720,3,10.830,24.870,4,10.880,25.090
2,10.710,35.570,1,10.660,35.380,0,,,3,10.920,36.010
3,10.520,46.090,1,10.590,45.980,2,0.000,46.090,4,10.240,46.250
3,10.270,56.370,1,10.260,56.250,2,10.230,56.320,4,10.440,56.690
2,9.890,1:06.260,1,9.930,1:06.180,3,10.000,1:06.330,0,,
3,9.860,1:16.130,1,9.790,1:15.970,4,9.850,1:16.180,2,0.000,1:15.990
4,10.200,1:26.330,2,9.920,1:25.900,3,10.130,1:26.320,1,9.600,1:25.590
4,10.460,1:36.800,2,10.230,1:36.130,3,10.290,1:36.620,1,9.840,1:35.440
