LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME
1,10.02,10.02,2,10.11,10.11,4,10.30,10.30,5,10.32,10.32,3,10.21,10.21,7,10.74,10.74,6,10.48,10.48
5,15.33,25.35,4,15.12,25.23,2,14.78,25.08,1,14.68,25.00,3,14.88,25.09,7,15.02,25.76,6,15.02,25.50
7,13.81,39.16,6,13.79,39.02,1,13.39,38.47,2,13.63,38.63,5,13.80,38.89,4,13.10,38.86,3,13.20,38.70
7,11.28,50.44,6,11.28,50.30,2,11.33,49.80,3,11.29,49.92,4,11.19,50.08,1,10.72,49.58,5,11.50,50.20
7,10.63,1:01.07,1,10.24,1:00.54,3,10.90,1:00.70,4,10.86,1:00.78,5,10.81,1:00.89,2,11.02,1:00.60,6,10.72,1:00.92
1,9.82,1:10.89,2,10.36,1:10.90,4,10.32,1:11.02,5,10.41,1:11.19,6,10.42,1:11.31,3,10.42,1:11.02,7,10.51,1:11.43
1,9.85,1:20.74,2,9.91,1:20.81,4,9.88,1:20.90,3,9.65,1:20.84,5,9.69,1:21.00,6,10.07,1:21.09,7,9.78,1:21.21
1,9.77,1:30.51,3,9.86,1:30.67,4,9.87,1:30.77,2,9.75,1:30.59,5,9.78,1:30.78,6,9.93,1:31.02,7,9.97,1:31.18
1,9.91,1:40.42,7,10.44,1:41.11,3,9.90,1:40.67,2,9.98,1:40.57,4,10.01,1:40.79,6,9.98,1:41.00,5,9.71,1:40.89
1,9.91,1:50.33,7,9.80,1:50.91,2,9.72,1:50.39,3,9.93,1:50.50,4,9.80,1:50.59,6,9.81,1:50.81,5,9.77,1:50.66
1,9.55,1:59.88,7,9.68,2:00.59,2,9.63,2:00.02,3,9.63,2:00.13,4,9.60,2:00.19,6,9.64,2:00.45,5,9.65,2:00.31
1,9.47,2:09.35,6,9.52,2:10.11,2,9.35,2:09.37,3,9.40,2:09.53,5,9.63,2:09.82,7,9.70,2:10.15,4,9.34,2:09.65
1,9.58,2:18.93,6,9.68,2:19.79,3,9.87,2:19.24,2,9.62,2:19.15,5,9.52,2:19.34,7,10.03,2:20.18,4,9.63,2:19.28
1,9.64,2:28.571,4,10.31,2:30.099,6,12.93,2:32.167,2,9.93,2:29.076,0,,PEN,5,10.32,2:30.497,3,9.88,2:29.153
