ZHANG Zhiqiang POSITION,ZHANG Zhiqiang LAP TIME,ZHANG Zhiqiang ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME
3,13.321,13.321,1,13.152,13.152,4,13.516,13.516,2,13.268,13.268
3,9.865,23.186,1,9.822,22.973,4,9.818,23.333,2,9.898,23.166
2,9.413,32.599,1,9.534,32.507,4,9.416,32.749,3,9.548,32.714
3,9.434,42.033,1,9.344,41.852,4,9.371,42.121,2,9.173,41.886
3,9.218,51.251,2,9.379,51.230,4,9.351,51.472,1,9.331,51.218
3,9.566,1:00.817,1,9.511,1:00.741,4,9.544,1:01.016,2,9.554,1:00.771
2,9.507,1:10.324,3,9.652,1:10.393,4,9.595,1:10.611,1,9.323,1:10.094
2,9.227,1:19.550,3,9.343,1:19.736,4,9.930,1:20.541,1,9.437,1:19.531
1,9.461,1:29.011,3,9.610,1:29.346,4,10.371,1:30.912,2,9.664,1:29.196
