FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME
1,7.01,7.01,2,7.20,7.20,4,7.78,7.78,3,7.54,7.54
1,9.29,16.30,2,9.17,16.37,4,9.34,17.12,3,9.31,16.85
2,8.82,25.12,1,8.68,25.05,4,8.86,25.98,3,8.95,25.80
2,9.00,34.12,1,8.98,34.03,4,9.14,35.12,3,9.12,34.92
2,9.12,43.24,1,9.14,43.17,4,9.31,44.423,3,9.38,44.283
