Pier-Olivier GAGNON POSITION,Pier-Olivier GAGNON LAP TIME,Pier-Olivier GAGNON ELAPSED TIME,Emil KARNEEV POSITION,Emil KARNEEV LAP TIME,Emil KARNEEV ELAPSED TIME,Konrad NAGY POSITION,Konrad NAGY LAP TIME,Konrad NAGY ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME
1,6.98,6.98,2,7.11,7.11,3,7.20,7.20,4,7.48,7.48
1,9.49,16.47,2,9.50,16.61,3,9.57,16.77,4,9.48,16.96
1,9.16,25.63,2,9.16,25.77,4,9.44,26.21,3,8.86,25.82
2,9.19,34.82,3,9.17,34.94,4,9.16,35.37,1,8.96,34.78
2,9.54,44.353,3,9.45,44.382,4,9.90,45.264,1,9.11,43.886
