Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME
1,8.88,8.88,3,9.16,9.16,5,9.32,9.32,4,9.20,9.20,2,8.98,8.98
1,13.87,22.75,4,13.99,23.16,5,14.02,23.35,3,13.81,23.01,2,13.98,22.96
2,11.81,34.57,5,11.76,34.92,4,11.52,34.87,1,11.15,34.17,3,11.71,34.68
3,11.06,45.63,5,10.90,45.82,4,10.92,45.80,1,11.38,45.55,2,10.93,45.61
2,11.98,57.61,4,11.92,57.74,5,11.97,57.78,1,11.94,57.50,3,12.01,57.63
2,11.86,1:09.47,5,12.06,1:09.80,1,11.51,1:09.30,3,11.98,1:09.48,4,11.93,1:09.57
2,10.53,1:20.00,5,10.58,1:20.38,1,10.67,1:19.97,3,10.56,1:20.04,4,10.61,1:20.18
2,10.24,1:30.24,5,10.43,1:30.81,1,10.26,1:30.23,4,10.64,1:30.69,3,10.20,1:30.38
1,10.38,1:40.63,4,10.31,1:41.12,2,10.61,1:40.84,5,10.73,1:41.42,3,10.51,1:40.90
2,10.68,1:51.32,4,10.62,1:51.75,1,10.47,1:51.31,5,10.45,1:51.87,3,10.49,1:51.39
4,9.97,2:01.29,5,10.37,2:02.12,2,9.30,2:00.62,1,8.69,2:00.56,3,9.63,2:01.02
3,9.63,2:10.93,5,10.65,2:12.77,1,9.28,2:09.90,4,12.14,2:12.71,2,9.48,2:10.51
3,9.84,2:20.77,5,10.95,2:23.73,1,9.26,2:19.17,4,10.37,2:23.08,2,9.79,2:20.31
3,10.52,2:31.282,5,11.78,2:35.501,1,10.57,2:29.739,4,11.05,2:34.125,2,10.25,2:30.552
