Sabrina BOURGELA POSITION,Sabrina BOURGELA LAP TIME,Sabrina BOURGELA ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME,Julie JUNG POSITION,Julie JUNG LAP TIME,Julie JUNG ELAPSED TIME
1,13.35,13.35,2,13.44,13.44,3,13.54,13.54,4,13.55,13.55
1,10.27,23.62,2,10.22,23.66,3,10.23,23.77,4,10.24,23.79
2,10.02,33.64,1,9.91,33.57,4,10.05,33.82,3,9.94,33.73
1,10.37,44.01,2,10.47,44.04,4,10.47,44.29,3,10.47,44.20
1,10.08,54.09,2,10.18,54.22,4,10.10,54.39,3,10.03,54.23
1,10.07,1:04.16,3,10.12,1:04.34,4,10.06,1:04.45,2,10.04,1:04.27
1,10.10,1:14.26,3,10.09,1:14.43,4,10.03,1:14.48,2,10.08,1:14.35
1,10.20,1:24.46,3,10.15,1:24.58,4,10.11,1:24.59,2,10.15,1:24.50
1,10.59,1:35.042,0,,PEN,3,31.34,1:55.925,2,27.37,1:51.862
