Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Alex IZYKOWSKI POSITION,Alex IZYKOWSKI LAP TIME,Alex IZYKOWSKI ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
1,13.013,13.013,3,13.248,13.248,2,13.043,13.043,4,13.368,13.368
1,10.069,23.082,3,9.970,23.217,2,10.140,23.182,4,9.958,23.325
1,10.141,33.222,4,10.258,33.474,2,10.132,33.314,3,10.134,33.459
2,10.164,43.385,3,10.061,43.535,1,10.001,43.315,4,10.137,43.595
2,9.892,53.277,3,9.777,53.311,1,9.863,53.178,4,9.889,53.484
2,9.501,1:02.777,4,9.695,1:03.005,1,9.540,1:02.717,3,9.509,1:02.992
4,9.668,1:12.444,1,8.944,1:11.949,2,9.251,1:11.968,3,9.268,1:12.259
3,9.132,1:21.576,1,9.208,1:21.157,2,9.516,1:21.484,4,9.321,1:21.580
4,10.20,1:31.769,1,9.62,1:30.777,2,9.59,1:31.067,3,9.63,1:31.201
