PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME
2,13.57,13.57,1,13.48,13.48,4,13.80,13.80,3,13.65,13.65
2,9.99,23.56,1,9.90,23.38,4,9.97,23.77,3,10.05,23.70
2,9.58,33.14,1,9.58,32.96,4,9.56,33.33,3,9.53,33.23
2,9.49,42.63,1,9.57,42.53,4,9.55,42.88,3,9.52,42.75
1,9.23,51.86,4,9.74,52.27,3,9.36,52.24,2,9.20,51.95
1,9.07,1:00.93,4,9.72,1:01.99,3,8.97,1:01.21,2,9.08,1:01.03
1,8.94,1:09.87,4,9.81,1:11.80,3,8.83,1:10.04,2,8.94,1:09.97
1,8.98,1:18.85,4,9.95,1:21.75,2,8.93,1:18.97,3,9.53,1:19.50
1,9.21,1:28.06,4,10.21,1:31.96,2,9.28,1:28.25,3,9.60,1:29.10
