MIGUNOV Dmitry POSITION,MIGUNOV Dmitry LAP TIME,MIGUNOV Dmitry ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,MARTINIC Ivan POSITION,MARTINIC Ivan LAP TIME,MARTINIC Ivan ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME
2,11.99,11.99,1,11.87,11.87,5,12.45,12.45,3,12.09,12.09,4,12.25,12.25
2,8.86,20.85,1,8.88,20.75,5,8.86,21.31,3,8.86,20.95,4,8.87,21.12
2,8.73,29.58,1,8.75,29.50,5,8.73,30.04,3,8.72,29.67,4,8.67,29.79
2,8.85,38.43,1,8.85,38.35,5,8.93,38.97,3,8.85,38.52,4,8.83,38.62
2,8.91,47.34,1,8.92,47.27,5,9.12,48.09,3,8.87,47.39,4,8.99,47.61
1,8.85,56.19,2,9.05,56.32,5,9.49,57.58,3,9.17,56.56,3,8.95,56.56
1,8.96,1:05.15,2,9.05,1:05.37,5,10.01,1:07.59,4,9.45,1:06.01,3,8.97,1:05.53
1,9.07,1:14.22,2,9.18,1:14.55,5,10.56,1:18.15,4,9.99,1:16.00,3,9.19,1:14.72
1,9.23,1:23.45,2,9.33,1:23.88,5,10.96,1:29.11,4,10.76,1:26.76,3,9.42,1:24.14
