KIM Kum Hyang POSITION,KIM Kum Hyang LAP TIME,KIM Kum Hyang ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME
4,8.00,8.00,1,7.62,7.62,5,8.01,8.01,2,7.66,7.66,2,7.66,7.66
5,9.92,17.92,3,10.02,17.64,4,9.68,17.69,2,9.84,17.50,1,9.74,17.40
5,9.14,27.06,4,9.33,26.97,3,9.19,26.88,2,9.15,26.65,1,9.14,26.54
5,9.27,36.33,4,9.28,36.25,3,9.22,36.10,1,9.18,35.83,2,9.32,35.86
4,9.31,45.64,5,9.46,45.71,3,9.41,45.51,1,9.26,45.09,2,9.48,45.34
