Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
1,13.79,13.79,3,13.86,13.86,4,14.02,14.02,2,13.80,13.80
1,10.56,24.35,3,10.52,24.39,4,10.50,24.52,2,10.57,24.38
1,10.12,34.48,3,10.12,34.51,4,10.10,34.63,2,10.09,34.48
1,9.27,43.76,2,9.25,43.76,4,9.35,43.99,3,9.32,43.80
1,9.04,52.80,4,9.37,53.14,3,9.11,53.11,2,9.03,52.84
2,8.66,1:01.47,4,8.64,1:01.78,3,8.63,1:01.74,1,8.36,1:01.20
2,8.72,1:10.19,4,8.70,1:10.49,3,8.63,1:10.37,1,8.60,1:09.81
3,9.16,1:19.35,4,9.17,1:19.66,2,8.74,1:19.11,1,8.84,1:18.65
3,9.36,1:28.701,4,9.11,1:28.761,2,9.21,1:28.317,1,9.46,1:28.110
