Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Shinichi TAGAMI POSITION,Shinichi TAGAMI LAP TIME,Shinichi TAGAMI ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME
3,8.873,8.873,2,8.443,8.443,1,8.400,8.400,4,9.052,9.052,5,19.886,19.886
1,10.710,19.583,2,11.184,19.626,3,11.273,19.673,4,11.099,20.151,5,10.736,30.621
1,10.583,30.165,2,10.603,30.229,3,10.582,30.256,4,10.677,30.828,0,,
1,10.426,40.591,2,10.373,40.602,3,10.378,40.634,5,10.181,41.009,4,,40.851
1,10.186,50.777,3,10.304,50.906,2,10.209,50.843,5,10.296,51.305,4,10.315,51.167
2,10.242,1:01.019,1,10.010,1:00.916,3,10.249,1:01.092,5,10.222,1:01.527,4,10.155,1:01.322
2,9.947,1:10.966,3,10.109,1:11.024,1,9.832,1:10.923,5,10.008,1:11.535,4,9.975,1:11.297
1,9.808,1:20.774,2,9.812,1:20.836,3,10.080,1:21.004,5,9.857,1:21.392,4,9.713,1:21.010
1,9.872,1:30.646,2,9.844,1:30.680,4,10.048,1:31.052,5,9.778,1:31.170,3,9.924,1:30.934
2,9.981,1:40.627,1,9.919,1:40.598,4,9.895,1:40.947,5,9.967,1:41.137,3,9.906,1:40.840
3,10.025,1:50.652,2,9.939,1:50.537,5,10.311,1:51.258,1,9.369,1:50.506,4,9.876,1:50.716
3,9.936,2:00.587,2,9.619,2:00.156,5,10.563,2:01.821,1,8.974,1:59.481,4,9.976,2:00.691
4,10.122,2:10.709,2,9.402,2:09.558,5,10.923,2:12.744,1,9.299,2:08.780,3,9.238,2:09.929
4,10.958,2:21.667,2,9.510,2:19.068,5,11.375,2:24.119,1,9.825,2:18.605,3,9.259,2:19.188
