Andrey STARZHINSKIY POSITION,Andrey STARZHINSKIY LAP TIME,Andrey STARZHINSKIY ELAPSED TIME,Konrad NAGY POSITION,Konrad NAGY LAP TIME,Konrad NAGY ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,LIU Songbo POSITION,LIU Songbo LAP TIME,LIU Songbo ELAPSED TIME
1,12.55,12.55,2,12.64,12.64,3,12.72,12.72,4,12.94,12.94
3,9.90,22.45,1,9.51,22.15,2,9.61,22.33,4,9.52,22.46
1,8.94,31.39,4,10.11,32.26,2,9.25,31.58,3,9.40,31.86
1,9.61,41.00,4,9.60,41.86,2,9.62,41.20,3,9.52,41.38
2,10.01,51.01,4,9.66,51.52,1,9.76,50.96,3,9.72,51.10
2,10.11,1:01.12,4,10.12,1:01.64,1,10.09,1:01.05,3,10.07,1:01.17
2,10.01,1:11.13,4,10.33,1:11.97,3,10.14,1:11.19,1,9.72,1:10.89
3,10.78,1:21.91,4,10.56,1:22.53,2,10.19,1:21.38,1,10.01,1:20.90
2,10.73,1:32.633,3,10.72,1:33.250,0,,DQ,1,10.66,1:31.560
