KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,HAN Seung Soo POSITION,HAN Seung Soo LAP TIME,HAN Seung Soo ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME
1,8.80,8.80,3,9.23,9.23,5,9.59,9.59,7,9.70,9.70,2,9.05,,4,9.42,9.42,8,9.83,9.83,6,9.63,9.63
1,10.92,19.72,5,10.85,20.08,6,10.59,20.18,7,10.59,20.29,3,10.77,,4,10.51,19.93,8,10.60,20.43,2,10.12,19.75
2,9.64,29.36,5,9.66,29.74,6,9.67,29.85,7,9.70,29.99,3,9.65,,4,9.67,29.60,8,9.67,30.10,1,9.55,29.30
1,9.82,39.18,5,9.71,39.45,6,9.73,39.58,7,9.74,39.73,3,9.86,,4,9.83,39.43,8,9.74,39.84,2,9.93,39.23
1,9.53,48.71,2,9.36,48.81,6,9.59,49.17,7,9.55,49.28,4,9.56,,5,9.60,49.03,8,9.53,49.37,3,9.65,48.88
1,9.49,58.20,3,9.50,58.31,2,9.07,58.24,6,9.40,58.68,5,9.71,,7,9.67,58.70,8,9.50,58.87,4,9.61,58.49
2,9.12,1:07.32,3,9.10,1:07.41,1,8.97,1:07.21,5,8.94,1:07.62,4,8.92,,7,9.09,1:07.79,8,9.09,1:07.96,6,9.16,1:07.65
3,9.34,1:16.66,1,9.04,1:16.45,2,9.35,1:16.56,5,9.21,1:16.83,4,9.23,,6,9.15,1:16.94,7,9.03,1:16.99,8,9.42,1:17.07
3,9.06,1:25.72,1,9.12,1:25.57,2,9.08,1:25.64,4,9.08,1:25.91,6,9.30,,7,9.18,1:26.12,5,9.02,1:26.01,8,9.21,1:26.28
3,9.07,1:34.79,1,9.04,1:34.61,2,9.05,1:34.69,4,8.97,1:34.88,6,9.00,,7,9.08,1:35.20,5,8.96,1:34.97,8,9.11,1:35.39
2,8.93,1:43.72,1,9.05,1:43.66,4,9.14,1:43.83,3,8.93,1:43.81,6,9.06,,7,9.03,1:44.23,5,9.04,1:44.01,8,9.26,1:44.65
2,9.04,1:52.76,1,9.02,1:52.68,6,9.25,1:53.08,3,9.07,1:52.88,5,8.96,,7,9.14,1:53.37,4,8.98,1:52.99,8,9.84,1:54.49
2,8.96,2:01.72,1,9.02,2:01.70,5,9.06,2:02.14,3,8.99,2:01.87,4,8.94,,7,9.40,2:02.77,6,9.30,2:02.29,8,10.58,2:05.07
2,9.39,2:11.090,1,9.28,2:10.963,3,9.07,2:11.188,4,9.66,2:11.501,4,9.29,,6,9.75,2:12.494,5,9.43,2:11.693,7,11.80,2:16.845
