Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
1,14.76,14.76,4,15.04,15.04,2,14.91,14.91,3,15.00,15.00
1,11.76,26.52,3,11.73,26.77,2,11.78,26.69,4,11.82,26.82
2,10.06,36.58,1,9.71,36.48,3,10.07,36.76,4,10.26,37.08
2,9.76,46.34,1,9.75,46.23,3,9.69,46.45,4,9.40,46.48
2,9.12,55.46,1,9.15,55.38,4,9.13,55.58,3,9.07,55.55
1,8.98,1:04.44,2,9.18,1:04.56,4,9.24,1:04.82,3,9.08,1:04.63
1,9.15,1:13.59,4,9.56,1:14.12,3,9.20,1:14.02,2,9.05,1:13.68
1,9.55,1:23.14,4,10.15,1:24.27,3,9.56,1:23.58,2,9.54,1:23.22
2,9.47,1:32.609,4,10.49,1:34.754,3,9.52,1:33.096,1,9.17,1:32.383
