Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Tjasa KROFLIC POSITION,Tjasa KROFLIC LAP TIME,Tjasa KROFLIC ELAPSED TIME,BYUN Chun-Sa POSITION,BYUN Chun-Sa LAP TIME,BYUN Chun-Sa ELAPSED TIME
0,10.283,10.283,0,10.148,10.148,0,10.480,10.480,0,10.818,10.818,0,10.889,10.889
0,15.361,25.643,0,15.779,25.927,0,15.399,25.879,0,15.171,25.989,0,15.299,26.188
0,15.070,40.713,0,15.012,40.939,0,15.029,40.907,0,14.935,40.923,0,15.109,41.296
0,14.341,55.053,0,14.302,55.242,0,14.477,55.385,0,14.589,55.513,0,14.250,55.546
0,11.986,1:07.039,0,11.536,1:06.777,0,11.449,1:06.833,0,11.392,1:06.905,0,11.655,1:07.200
0,10.588,1:17.628,0,10.343,1:17.120,0,10.666,1:17.500,0,10.712,1:17.616,0,10.658,1:17.858
0,10.359,1:27.987,0,10.645,1:27.765,0,10.516,1:28.015,0,10.208,1:27.824,0,10.293,1:28.151
0,10.941,1:38.927,0,10.707,1:38.472,0,10.739,1:38.755,0,11.095,1:38.919,0,10.819,1:38.969
0,10.415,1:49.342,0,10.774,1:49.245,0,10.549,1:49.303,0,10.367,1:49.286,0,10.521,1:49.491
0,9.849,1:59.191,0,10.220,1:59.465,0,9.835,1:59.138,0,11.810,2:01.096,0,9.889,1:59.379
0,9.756,2:08.948,0,9.996,2:09.461,0,10.029,2:09.166,0,11.383,2:12.479,0,9.789,2:09.169
0,9.941,2:18.888,0,10.144,2:19.604,0,10.157,2:19.323,0,11.924,2:24.403,0,9.804,2:18.973
0,9.970,2:28.859,0,10.260,2:29.864,0,10.417,2:29.741,0,12.396,2:36.799,0,9.593,2:28.565
0,10.097,2:38.956,0,10.656,2:40.520,0,10.674,2:40.414,0,18.963,2:55.762,0,9.940,2:38.506
