ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME,FILIPOVA Lucia POSITION,FILIPOVA Lucia LAP TIME,FILIPOVA Lucia ELAPSED TIME,MAZUR Nicole POSITION,MAZUR Nicole LAP TIME,MAZUR Nicole ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME
1,15.80,15.80,2,15.95,,3,16.07,16.07,4,16.18,16.18
1,12.30,28.10,2,12.28,,3,12.26,28.33,4,12.27,28.45
1,11.33,39.43,4,11.56,,3,11.30,39.63,2,11.13,39.58
1,10.12,49.55,4,10.05,,2,10.04,49.67,3,10.10,49.68
1,9.60,59.15,4,9.83,,2,9.69,59.36,3,9.80,59.48
1,9.68,1:08.83,4,9.47,,2,9.58,1:08.94,3,9.57,1:09.05
1,9.89,1:18.72,4,9.73,,2,9.82,1:18.76,3,9.75,1:18.80
2,10.11,1:28.83,3,10.11,,1,9.81,1:28.57,4,10.40,1:29.20
2,10.50,1:39.332,3,10.41,,1,10.35,1:38.922,3,10.27,1:39.478
