NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
1,12.43,12.43,3,12.63,12.63,2,12.55,12.55,4,12.72,12.72
1,9.54,21.97,3,9.56,22.19,2,9.53,22.08,4,9.55,22.27
1,9.33,31.30,4,9.31,31.50,2,9.31,31.39,3,9.23,31.50
1,9.11,40.41,4,9.30,40.80,2,9.11,40.50,3,9.13,40.63
1,8.95,49.36,4,8.98,49.78,2,8.97,49.47,3,8.97,49.60
1,8.75,58.11,4,8.72,58.50,2,8.77,58.24,3,8.72,58.32
1,8.77,1:06.88,4,8.70,1:07.20,2,8.76,1:07.00,3,8.69,1:07.01
1,8.80,1:15.68,4,8.86,1:16.06,3,8.98,1:15.98,2,8.77,1:15.78
1,9.04,1:24.715,0,,PEN,3,9.74,1:25.718,2,8.99,1:24.770
