Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME
2,8.30,8.30,1,8.17,8.17,4,8.43,8.43,5,8.56,8.56,3,8.31,8.31,6,8.94,8.94
2,11.42,19.72,1,11.51,19.68,4,11.46,19.89,5,11.49,20.05,3,11.48,19.79,6,11.31,20.25
1,10.53,30.25,2,10.66,30.34,4,10.62,30.51,5,10.53,30.58,3,10.61,30.40,6,10.40,30.65
1,9.97,40.22,2,10.02,40.36,4,10.04,40.55,5,10.09,40.67,3,10.05,40.45,6,10.11,40.76
1,10.28,50.50,2,10.23,50.59,4,10.26,50.81,5,10.26,50.93,3,10.25,50.70,6,10.29,51.05
2,10.15,1:00.65,1,9.97,1:00.56,4,10.04,1:00.85,5,10.04,1:00.97,3,10.05,1:00.75,6,10.09,1:01.14
1,9.65,1:10.30,2,9.77,1:10.33,4,9.61,1:10.46,5,9.60,1:10.57,3,9.69,1:10.44,6,9.66,1:10.80
1,9.20,1:19.50,4,9.49,1:19.82,2,9.12,1:19.58,3,9.08,1:19.65,5,9.48,1:19.92,6,9.21,1:20.01
1,9.22,1:28.72,4,9.23,1:29.05,2,9.22,1:28.80,3,9.27,1:28.92,5,9.29,1:29.21,6,9.36,1:29.37
1,9.22,1:37.94,4,9.20,1:38.25,2,9.22,1:38.02,3,9.20,1:38.12,5,9.36,1:38.57,6,9.36,1:38.73
1,9.36,1:47.30,4,9.31,1:47.56,2,9.35,1:47.37,3,9.34,1:47.46,6,10.09,1:48.66,5,9.87,1:48.60
1,9.54,1:56.84,4,9.66,1:57.22,2,9.61,1:56.98,3,9.60,1:57.06,6,10.49,1:59.15,5,9.98,1:58.58
1,9.70,2:06.54,4,10.03,2:07.25,2,9.65,2:06.63,3,9.69,2:06.75,6,11.08,2:10.23,5,10.40,2:08.98
1,10.06,2:16.595,4,10.74,2:17.984,2,10.05,2:16.675,3,10.16,2:16.906,6,12.04,2:22.262,5,10.90,2:19.877
