DJORDJEVIC Jovan POSITION,DJORDJEVIC Jovan LAP TIME,DJORDJEVIC Jovan ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,KRUZBERGS Karlis POSITION,KRUZBERGS Karlis LAP TIME,KRUZBERGS Karlis ELAPSED TIME,PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
4,13.75,13.75,2,13.38,13.38,1,13.29,13.29,3,13.55,13.55,5,13.90,13.90
4,10.36,24.11,2,10.46,23.84,1,10.43,23.72,3,10.37,23.92,5,10.29,24.19
5,10.02,34.13,2,10.00,33.84,1,9.99,33.71,3,9.98,33.90,4,9.88,34.07
5,9.93,44.06,3,9.84,43.68,1,9.88,43.59,2,9.72,43.62,4,9.75,43.82
5,9.64,53.70,3,9.34,53.02,2,9.35,52.94,1,9.24,52.86,4,9.26,53.08
5,9.88,1:03.58,2,9.30,1:02.32,4,9.53,1:02.47,1,9.31,1:02.17,3,9.32,1:02.40
5,10.26,1:13.84,2,9.19,1:11.51,4,9.36,1:11.83,1,9.18,1:11.35,3,9.17,1:11.57
5,10.70,1:24.54,2,9.02,1:20.53,4,9.37,1:21.20,1,9.03,1:20.38,3,9.05,1:20.62
5,10.94,1:35.459,2,9.21,1:29.74,4,9.97,1:31.142,1,9.21,1:29.59,3,9.24,1:29.849
