HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Serge PLANCHER POSITION,Serge PLANCHER LAP TIME,Serge PLANCHER ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME
3,7.000,7.000,1,6.820,6.820,4,7.250,7.250,2,6.900,6.900
2,9.020,16.020,1,9.120,15.950,3,13.500,20.760,4,30.470,37.370
1,8.500,24.530,2,8.710,24.660,3,11.060,31.820,4,16.170,53.550
1,8.550,33.080,2,8.780,33.440,3,10.540,42.360,4,13.990,1:07.540
1,8.900,41.990,2,9.060,42.510,3,10.130,52.500,4,13.630,1:21.180
