ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,KIM Dong Wook POSITION,KIM Dong Wook LAP TIME,KIM Dong Wook ELAPSED TIME,JONG Kwang Bom POSITION,JONG Kwang Bom LAP TIME,JONG Kwang Bom ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,Zen Sheng Sian KOH POSITION,Zen Sheng Sian KOH LAP TIME,Zen Sheng Sian KOH ELAPSED TIME
1,6.89,6.89,2,7.03,7.03,3,7.16,,4,7.29,7.29,5,7.67,7.67
1,9.08,15.97,2,9.04,16.07,3,9.02,,4,9.05,16.34,5,9.88,17.55
2,8.60,24.57,1,8.39,24.46,3,8.51,,4,8.38,24.72,5,9.55,27.10
2,8.65,33.22,1,8.54,33.00,5,30.64,,3,9.56,34.28,4,9.92,37.02
2,8.74,41.96,1,8.70,41.70,5,19.61,,3,9.56,43.848,4,10.20,47.229
