Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME
3,6.939,6.939,4,6.979,6.979,2,6.924,6.924,1,6.668,6.668
2,9.343,16.282,4,9.530,16.508,3,9.512,16.436,1,9.535,16.202
2,8.910,25.191,3,8.815,25.323,4,8.928,25.364,1,8.273,24.474
3,9.105,34.296,4,9.103,34.425,2,8.900,34.263,1,8.413,32.887
2,9.35,43.645,3,9.23,43.655,1,8.17,42.427,4,10.87,43.752
