PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
1,12.81,12.81,3,12.90,12.90,4,12.96,12.96,5,13.14,13.14,2,12.82,
1,9.90,22.71,5,10.01,22.91,2,9.76,22.72,4,9.67,22.81,3,9.92,
3,9.28,31.99,5,9.29,32.20,2,9.12,31.84,1,8.90,31.71,4,9.34,
3,9.07,41.06,5,9.04,41.24,1,9.07,40.91,2,9.22,40.93,4,9.06,
3,9.01,50.07,5,9.10,50.34,1,9.10,50.01,2,9.13,50.06,4,9.06,
1,8.91,58.98,4,9.00,59.34,5,9.36,59.37,3,9.24,59.30,2,8.99,
1,9.08,1:08.06,2,8.73,1:08.07,5,9.16,1:08.53,4,9.09,1:08.39,3,9.17,
2,9.01,1:17.07,1,8.70,1:16.77,3,9.07,1:17.60,4,9.63,1:18.02,5,10.17,
2,9.17,1:26.24,1,9.20,1:25.97,3,8.81,1:26.41,4,9.89,1:27.91,5,10.47,
