Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Benjamin STUTHRIDGE POSITION,Benjamin STUTHRIDGE LAP TIME,Benjamin STUTHRIDGE ELAPSED TIME
1,12.28,12.28,2,12.71,12.71,3,12.78,12.78,4,12.95,12.95
1,9.38,21.66,2,9.54,22.25,3,9.55,22.33,4,9.61,22.56
1,9.30,30.96,2,9.50,31.75,3,9.54,31.87,4,9.70,32.26
1,9.35,40.31,2,9.31,41.06,3,9.28,41.15,4,9.99,42.25
1,9.58,49.89,2,9.30,50.36,3,9.31,50.46,4,10.32,52.57
1,9.70,59.59,2,9.41,59.77,3,9.42,59.88,4,10.70,1:03.27
2,9.79,1:09.38,1,9.44,1:09.21,3,9.57,1:09.45,4,11.26,1:14.53
2,9.71,1:19.09,1,9.58,1:18.79,3,9.81,1:19.26,4,11.80,1:26.33
3,10.11,1:29.200,1,9.89,1:28.678,2,9.91,1:29.162,4,12.44,1:38.770
