Ryan McANUFF POSITION,Ryan McANUFF LAP TIME,Ryan McANUFF ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME
1,9.69,9.69,4,10.34,10.34,2,9.92,9.92,5,10.47,10.47,3,10.12,10.12
1,14.05,23.74,3,13.64,23.98,2,14.01,23.93,5,13.73,24.20,4,13.92,24.04
2,12.54,36.28,1,12.17,36.15,4,12.62,36.55,5,12.44,36.64,3,12.37,36.41
2,12.00,48.28,1,12.02,48.17,4,12.03,48.58,5,12.07,48.71,3,11.99,48.40
2,12.07,1:00.35,1,12.04,1:00.21,4,12.05,1:00.63,5,12.09,1:00.80,3,12.09,1:00.49
3,11.65,1:12.00,2,11.71,1:11.92,1,11.22,1:11.85,5,11.40,1:12.20,4,11.55,1:12.04
4,11.08,1:23.08,2,11.07,1:22.99,1,11.05,1:22.90,5,10.97,1:23.17,3,10.99,1:23.03
3,11.04,1:34.12,1,10.85,1:33.84,2,11.13,1:34.03,5,11.00,1:34.17,4,11.12,1:34.15
3,10.23,1:44.35,1,10.20,1:44.04,2,10.21,1:44.24,4,10.29,1:44.46,5,10.47,1:44.62
2,9.57,1:53.92,1,9.74,1:53.78,2,9.68,1:53.92,4,9.61,1:54.07,5,9.60,1:54.22
3,9.34,2:03.26,2,9.20,2:02.98,1,8.85,2:02.77,4,9.27,2:03.34,5,9.24,2:03.46
4,9.27,2:12.53,2,8.87,2:11.85,1,8.66,2:11.43,3,9.00,2:12.34,5,9.16,2:12.62
4,9.33,2:21.86,2,8.94,2:20.79,1,9.00,2:20.43,3,8.99,2:21.33,5,9.40,2:22.02
4,9.66,2:31.527,2,9.44,2:30.23,1,9.45,2:29.88,3,9.31,2:30.64,5,9.65,2:31.672
