Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME
2,7.03,7.03,1,6.90,6.90,4,7.18,7.18,3,7.13,7.13
2,9.15,16.18,1,9.05,15.95,4,9.30,16.48,3,9.06,16.19
3,8.93,25.11,1,8.76,24.71,4,10.94,27.42,2,8.65,24.84
3,8.98,34.09,1,8.76,33.47,4,11.42,38.84,2,8.67,33.51
3,9.40,43.485,2,9.27,42.736,4,12.21,51.041,1,9.01,42.513
