BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME
2,12.559,12.559,1,12.541,12.541,3,12.697,12.697
1,9.623,22.182,2,9.693,22.234,3,9.751,22.447
1,9.724,31.907,2,9.799,32.033,3,9.608,32.055
3,10.311,42.218,2,9.690,41.724,1,9.582,41.638
1,9.266,51.484,2,9.814,51.537,3,10.039,51.677
1,9.549,1:01.033,2,9.580,1:01.117,3,9.505,1:01.182
1,9.519,1:10.551,2,9.684,1:10.801,3,9.653,1:10.835
2,9.726,1:20.278,1,9.438,1:20.239,3,9.597,1:20.432
2,9.814,1:30.092,1,9.838,1:30.078,3,9.862,1:30.294
3,9.840,1:39.932,1,9.549,1:39.627,2,9.566,1:39.859
2,9.731,1:49.663,1,9.781,1:49.408,3,9.824,1:49.684
3,9.855,1:59.517,1,9.847,1:59.255,2,9.662,1:59.346
3,9.666,2:09.183,1,9.648,2:08.903,2,9.645,2:08.990
3,9.594,2:18.777,1,9.545,2:18.448,2,9.549,2:18.540
3,9.551,2:28.328,2,9.771,2:28.219,1,9.445,2:27.985
3,9.975,2:38.303,2,9.981,2:38.200,1,10.026,2:38.011
3,9.954,2:48.257,2,9.921,2:48.121,1,10.065,2:48.076
3,9.832,2:58.089,2,9.924,2:58.045,1,9.780,2:57.855
3,9.943,3:08.032,2,9.656,3:07.700,1,9.575,3:07.430
3,9.275,3:17.307,1,9.251,3:16.951,2,9.741,3:17.171
3,9.580,3:26.887,2,9.810,3:26.760,1,9.236,3:26.407
3,10.128,3:37.015,2,9.560,3:36.320,1,9.848,3:36.255
3,9.849,3:46.864,1,9.880,3:46.201,2,9.975,3:46.230
3,9.327,3:56.191,2,9.897,3:56.098,1,9.481,3:55.711
3,11.595,4:07.786,2,9.642,4:05.740,1,9.798,4:05.509
2,7.554,4:15.340,3,18.922,4:24.662,1,9.538,4:15.048
2,9.710,4:25.050,0,,,1,9.525,4:24.572
