Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME
5,11.15,11.15,4,10.95,10.95,6,11.19,11.19,3,10.70,10.70,2,10.49,10.49,1,10.39,10.39,7,11.30,11.30
6,16.45,27.60,5,16.58,27.53,4,16.13,27.32,3,16.37,27.07,2,16.48,26.97,1,16.44,26.83,7,16.60,27.90
2,14.32,41.92,5,14.83,42.36,6,15.09,42.41,1,14.62,41.69,4,15.21,42.18,3,15.23,42.06,7,14.80,42.70
2,13.89,55.81,6,13.93,56.29,5,13.84,56.25,3,14.19,55.88,1,13.48,55.66,4,13.85,55.91,7,13.76,56.46
2,13.25,1:09.06,6,13.49,1:09.78,3,13.02,1:09.27,4,13.53,1:09.41,1,13.35,1:09.01,5,13.67,1:09.58,7,13.55,1:10.01
1,14.26,1:23.32,5,13.89,1:23.67,4,14.37,1:23.64,6,14.29,1:23.70,2,14.37,1:23.38,3,13.87,1:23.45,7,13.88,1:23.89
1,12.51,1:35.83,5,12.81,1:36.48,2,12.43,1:36.07,7,12.94,1:36.64,4,12.90,1:36.28,3,12.68,1:36.13,6,12.69,1:36.58
1,11.20,1:47.03,5,10.98,1:47.46,2,11.07,1:47.14,7,11.10,1:47.74,4,11.13,1:47.41,3,11.05,1:47.18,6,11.08,1:47.66
1,10.61,1:57.64,5,10.97,1:58.43,2,10.72,1:57.86,7,10.96,1:58.70,4,10.87,1:58.28,3,10.92,1:58.10,6,10.88,1:58.54
1,10.04,2:07.68,5,9.82,2:08.25,2,9.97,2:07.83,7,9.88,2:08.58,4,9.84,2:08.12,3,9.85,2:07.95,6,9.83,2:08.37
4,10.04,2:17.72,5,9.57,2:17.82,3,9.71,2:17.54,7,9.79,2:18.37,2,9.38,2:17.50,1,9.54,2:17.49,6,9.55,2:17.92
5,9.63,2:27.35,3,9.10,2:26.92,4,9.77,2:27.31,7,10.13,2:28.50,2,9.26,2:26.76,1,9.12,2:26.61,6,9.68,2:27.60
5,9.83,2:37.18,2,9.07,2:35.99,4,9.75,2:37.06,7,10.79,2:39.29,3,9.35,2:36.11,1,9.10,2:35.71,6,9.66,2:37.26
6,10.17,2:47.35,2,9.27,2:45.26,4,10.13,2:47.19,7,11.46,2:50.75,3,9.92,2:46.03,1,9.37,2:45.08,5,10.03,2:47.29
