Charles Ryan LEVEILLE POSITION,Charles Ryan LEVEILLE LAP TIME,Charles Ryan LEVEILLE ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME
2,12.90,12.90,1,12.89,12.89,3,13.04,13.04,4,13.36,13.36
3,9.98,22.88,2,9.77,22.66,1,9.54,22.59,4,9.55,22.91
3,8.93,31.82,2,9.06,31.72,1,9.04,31.63,4,9.02,31.94
3,9.10,40.92,2,9.02,40.75,1,9.08,40.71,4,9.02,40.96
3,9.17,50.10,2,9.22,49.98,1,9.16,49.87,4,9.17,50.14
4,9.42,59.52,2,9.29,59.27,1,9.31,59.19,3,9.35,59.49
3,9.28,1:08.81,2,9.31,1:08.59,1,9.30,1:08.49,4,9.33,1:08.82
3,9.24,1:18.05,2,9.21,1:17.81,1,9.23,1:17.73,4,9.26,1:18.08
4,10.46,1:28.503,2,9.55,1:27.358,1,9.56,1:27.288,3,9.83,1:27.906
