BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,UM Cheon-Ho POSITION,UM Cheon-Ho LAP TIME,UM Cheon-Ho ELAPSED TIME
1,6.88,6.88,2,6.99,6.99,3,7.16,7.16,4,7.52,7.52
1,9.16,16.04,2,9.24,16.23,3,9.20,16.36,4,9.19,16.71
1,8.75,24.79,2,8.63,24.86,3,8.76,25.12,4,8.91,25.62
2,8.92,33.71,1,8.68,33.54,3,8.92,34.04,4,9.46,35.08
2,8.82,42.522,1,8.63,42.167,3,8.98,43.015,4,10.12,45.192
