Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,Minto SEKAI POSITION,Minto SEKAI LAP TIME,Minto SEKAI ELAPSED TIME
2,13.00,13.00,1,12.91,12.91,3,13.07,13.07,4,13.13,13.13
3,9.83,22.83,2,9.79,22.70,4,9.87,22.94,1,9.50,22.63
1,10.07,32.90,2,10.30,33.00,3,10.17,33.11,4,19.32,41.95
1,10.98,43.88,2,10.96,43.96,3,10.91,44.02,4,12.59,54.54
1,10.22,54.10,2,10.21,54.17,3,10.23,54.25,4,10.12,1:04.66
1,10.12,1:04.22,2,10.12,1:04.29,3,10.19,1:04.44,4,9.79,1:14.45
1,9.56,1:13.78,3,9.65,1:13.94,2,9.43,1:13.87,4,10.23,1:24.68
1,9.13,1:22.91,2,9.01,1:22.95,3,9.24,1:23.11,4,10.83,1:35.51
2,9.38,1:32.282,1,9.13,1:32.076,3,9.43,1:32.537,4,11.22,1:46.725
