Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME
3,14.16,14.16,4,14.25,14.25,5,14.26,14.26,2,13.73,13.73,1,13.68,13.68
3,10.96,25.12,5,10.98,25.23,4,10.92,25.18,2,11.02,24.76,1,11.04,24.73
5,10.34,35.46,3,10.18,35.42,4,10.23,35.42,2,10.53,35.30,1,10.36,35.10
5,9.84,45.30,4,9.73,45.16,2,9.69,45.11,3,9.82,45.12,1,9.81,44.92
5,9.85,55.16,2,9.61,54.77,4,9.86,54.98,3,9.76,54.88,1,9.64,54.56
5,9.39,1:04.55,2,9.45,1:04.23,3,9.30,1:04.28,4,9.45,1:04.34,1,9.50,1:04.07
5,9.26,1:13.82,2,9.14,1:13.37,4,9.22,1:13.50,3,9.07,1:13.42,1,9.17,1:13.25
5,8.99,1:22.81,1,8.91,1:22.29,4,9.21,1:22.72,2,8.89,1:22.31,3,9.18,1:22.43
2,9.63,1:32.435,1,9.59,1:31.871,3,9.97,1:32.682,4,53.71,2:16.014,0,,DQ
