LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Marc-Andre MONETTE POSITION,Marc-Andre MONETTE LAP TIME,Marc-Andre MONETTE ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME
2,12.44,12.44,1,12.29,12.29,3,12.70,12.70,4,12.79,12.79
2,10.00,22.45,3,10.20,22.49,1,9.63,22.33,4,9.90,22.69
2,9.21,31.67,1,9.11,31.61,3,9.35,31.69,4,9.20,31.89
1,9.27,40.94,2,9.35,40.96,3,9.45,41.14,4,9.44,41.34
2,9.19,50.13,1,9.15,50.11,3,9.07,50.22,4,8.95,50.30
1,9.17,59.30,2,9.24,59.36,3,9.24,59.47,4,9.50,59.80
2,9.22,1:08.53,1,9.12,1:08.48,3,9.19,1:08.66,4,8.96,1:08.76
2,9.19,1:17.73,1,9.14,1:17.63,4,9.22,1:17.88,3,9.04,1:17.81
2,9.31,1:27.036,4,9.58,1:27.203,3,9.21,1:27.086,1,8.90,1:26.709
