SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,GALIAKHMETOV Adil POSITION,GALIAKHMETOV Adil LAP TIME,GALIAKHMETOV Adil ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,PARK Noh Won POSITION,PARK Noh Won LAP TIME,PARK Noh Won ELAPSED TIME,Marc-Olivier LEMAY POSITION,Marc-Olivier LEMAY LAP TIME,Marc-Olivier LEMAY ELAPSED TIME
2,11.96,11.96,4,12.24,12.24,1,11.94,11.94,5,12.35,12.35,3,12.12,12.12
1,9.18,21.14,4,9.15,21.39,2,9.23,21.17,5,9.19,21.54,3,9.14,21.26
1,8.99,30.13,4,8.99,30.38,2,9.04,30.21,5,8.94,30.48,3,9.05,30.31
2,8.93,39.06,4,8.91,39.29,1,8.83,39.04,5,8.93,39.41,3,8.77,39.08
3,8.93,47.99,4,8.87,48.16,1,8.88,47.92,5,8.82,48.23,2,8.90,47.98
1,8.75,56.74,4,8.85,57.01,2,8.93,56.85,5,8.82,57.05,3,8.95,56.93
1,8.91,1:05.65,4,8.93,1:05.94,2,8.88,1:05.73,5,8.98,1:06.03,3,8.93,1:05.86
1,9.01,1:14.66,5,9.07,1:15.01,2,9.01,1:14.74,4,8.89,1:14.92,3,8.94,1:14.80
1,9.21,1:23.87,4,9.43,1:24.425,2,9.19,1:23.93,3,9.07,1:23.99,5,10.08,1:24.866
