Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
1,13.02,13.02,3,13.10,13.10,2,13.03,13.03,4,13.26,13.26,5,13.29,13.29
2,9.89,22.91,5,10.02,23.12,3,9.93,22.96,4,9.85,23.11,1,9.62,22.91
2,9.66,32.57,4,9.65,32.77,3,9.67,32.63,5,9.73,32.84,1,9.58,32.49
3,10.13,42.70,4,10.05,42.82,1,9.97,42.60,5,10.10,42.94,2,10.13,42.62
3,9.86,52.56,4,9.83,52.65,1,9.79,52.39,5,9.82,52.76,2,9.85,52.47
3,9.78,1:02.34,4,9.80,1:02.45,2,9.79,1:02.18,5,9.80,1:02.56,1,9.65,1:02.12
2,9.50,1:11.84,3,9.46,1:11.91,4,14.47,1:16.65,1,9.11,1:11.67,5,18.38,1:20.50
2,9.76,1:21.60,3,9.70,1:21.61,4,14.40,1:31.05,1,9.54,1:21.21,5,20.99,1:41.49
3,10.11,1:31.704,2,9.91,1:31.514,4,10.96,1:42.008,1,9.98,1:31.188,5,16.80,1:58.286
