Vitaly MIKHEENKOV POSITION,Vitaly MIKHEENKOV LAP TIME,Vitaly MIKHEENKOV ELAPSED TIME,Sergei KASTOV POSITION,Sergei KASTOV LAP TIME,Sergei KASTOV ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME
1,6.950,6.950,4,7.330,7.330,3,7.230,7.230,2,7.060,7.060
1,9.310,16.260,4,9.670,17.010,3,9.480,16.720,2,9.330,16.390
2,9.140,25.410,4,9.420,26.440,3,8.970,25.690,1,8.960,25.360
2,9.290,34.710,4,9.500,35.940,3,9.270,34.960,1,9.120,34.480
3,9.900,44.610,4,9.900,45.840,2,9.430,44.390,1,9.510,44.000
