Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME
5,13.30,13.30,2,12.61,12.61,3,12.74,12.74,1,12.49,12.49,4,12.88,12.88
5,9.90,23.20,3,10.26,22.87,1,10.00,22.74,2,10.29,22.78,4,10.02,22.90
5,10.01,33.21,2,9.90,32.77,3,10.10,32.84,1,9.90,32.68,4,10.04,32.94
5,9.74,42.95,2,9.75,42.52,3,9.84,42.68,1,9.70,42.38,4,9.75,42.69
4,9.76,52.71,2,9.42,51.94,5,10.20,52.88,1,9.45,51.83,3,9.48,52.17
4,9.94,1:02.65,2,9.12,1:01.06,5,9.77,1:02.65,1,9.08,1:00.91,3,9.51,1:01.68
5,10.33,1:12.98,2,8.95,1:10.01,4,9.76,1:12.41,1,8.99,1:09.90,3,9.89,1:11.57
5,10.90,1:23.88,2,8.91,1:18.92,4,9.84,1:22.25,1,8.95,1:18.85,3,10.30,1:21.87
4,11.28,1:35.158,2,9.19,1:28.110,0,,PEN,1,9.14,1:27.988,3,11.20,1:33.063
