NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
4,13.03,,2,12.81,12.81,1,12.69,12.69,3,12.91,12.91,5,13.15,13.15,5,13.15,13.15
5,9.54,,2,9.43,22.24,3,9.65,22.34,4,9.52,22.43,1,8.91,22.06,6,9.59,22.74
5,8.92,,2,9.02,31.26,4,8.99,31.33,3,8.88,31.31,1,9.10,31.16,6,8.92,31.66
5,9.24,,2,9.13,40.39,4,9.31,40.64,3,9.20,40.51,1,9.15,40.31,6,9.10,40.76
5,9.13,,3,9.24,49.63,4,9.12,49.76,2,9.08,49.59,1,9.23,49.54,6,9.29,50.05
4,9.09,,3,9.14,58.77,6,9.34,59.10,1,8.95,58.54,2,9.18,58.72,5,9.04,59.09
5,9.30,,2,9.09,1:07.86,6,9.27,1:08.37,1,8.98,1:07.52,3,9.24,1:07.96,4,8.88,1:07.97
5,9.33,,2,9.07,1:16.93,6,9.49,1:17.86,1,9.27,1:16.79,4,9.33,1:17.29,3,9.09,1:17.06
5,9.59,,2,9.45,1:26.381,5,9.90,1:27.768,1,9.50,1:26.298,4,9.68,1:26.970,3,9.37,1:26.430
