Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Matteo COMPAGNONI POSITION,Matteo COMPAGNONI LAP TIME,Matteo COMPAGNONI ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
5,8.60,8.60,3,8.44,8.44,4,8.53,8.53,1,8.32,8.32,2,8.33,8.33,6,8.85,8.85
6,12.36,20.96,4,12.28,20.72,1,11.83,20.36,2,12.17,20.49,3,12.27,20.60,5,12.01,20.86
6,11.60,32.56,4,11.54,32.26,3,11.77,32.13,2,11.55,32.04,1,11.44,32.04,5,11.56,32.42
6,11.29,43.85,4,11.36,43.62,3,11.37,43.50,1,11.21,43.25,2,11.34,43.38,5,11.33,43.75
6,11.44,55.29,4,11.23,54.85,1,11.22,54.72,3,11.52,54.77,2,11.37,54.75,5,11.40,55.15
6,10.09,1:05.38,1,9.98,1:04.83,2,10.23,1:04.95,4,10.34,1:05.11,3,10.27,1:05.02,5,10.08,1:05.23
6,10.53,1:15.91,1,10.57,1:15.40,2,10.60,1:15.55,4,10.63,1:15.74,3,10.62,1:15.64,5,10.58,1:15.81
4,10.45,1:26.36,1,10.75,1:26.15,3,10.73,1:26.28,6,10.73,1:26.47,2,10.57,1:26.21,5,10.56,1:26.37
3,9.77,1:36.13,2,9.76,1:35.91,4,9.95,1:36.23,6,10.01,1:36.48,1,9.63,1:35.84,5,9.88,1:36.25
3,9.40,1:45.53,2,9.47,1:45.38,5,9.53,1:45.76,6,9.38,1:45.86,1,9.46,1:45.30,4,9.39,1:45.64
3,9.27,1:54.80,2,9.28,1:54.66,5,9.38,1:55.14,6,9.42,1:55.28,1,9.26,1:54.56,4,9.24,1:54.88
3,9.25,2:04.05,2,9.33,2:03.99,5,9.40,2:04.54,6,9.38,2:04.66,1,9.32,2:03.88,4,9.27,2:04.15
3,9.34,2:13.39,2,9.33,2:13.32,6,9.91,2:14.45,5,9.63,2:14.29,1,9.34,2:13.22,4,9.40,2:13.55
3,9.68,2:23.061,2,9.56,2:22.878,6,10.56,2:25.008,5,10.09,2:24.374,1,9.63,2:22.841,4,9.76,2:23.306
