AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Yoshiharu ARINO POSITION,Yoshiharu ARINO LAP TIME,Yoshiharu ARINO ELAPSED TIME,Matus UZAK POSITION,Matus UZAK LAP TIME,Matus UZAK ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME
1,13.343,13.343,2,13.346,13.346,4,16.442,16.442,3,13.644,13.644
2,10.698,24.041,1,10.512,23.857,4,11.794,28.236,3,10.632,24.275
2,10.374,34.415,1,10.460,34.317,4,11.558,39.794,3,10.396,34.670
2,10.581,44.995,1,10.313,44.629,4,11.778,51.571,3,10.426,45.095
3,10.108,55.103,1,10.053,54.682,4,11.780,1:03.350,2,10.005,55.100
1,9.254,1:04.356,2,9.853,1:04.535,4,12.587,1:15.937,3,9.997,1:05.096
1,9.256,1:13.612,2,9.285,1:13.819,4,11.827,1:27.763,3,9.903,1:14.999
1,9.303,1:22.915,2,9.577,1:23.395,4,12.275,1:40.037,3,10.276,1:25.274
1,10.19,1:33.098,2,10.74,1:34.129,4,12.70,1:52.730,3,10.62,1:35.893
