YU Jiyang POSITION,YU Jiyang LAP TIME,YU Jiyang ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME
1,6.80,6.80,2,6.87,6.87,4,7.13,7.13,3,7.00,7.00,5,7.20,7.20
1,9.00,15.80,2,9.05,15.92,4,9.08,16.21,3,9.04,16.04,5,9.16,16.36
2,8.87,24.67,1,8.67,24.59,4,8.60,24.81,3,8.64,24.68,5,8.58,24.94
5,9.16,33.83,1,8.88,33.47,3,8.83,33.64,2,8.86,33.54,4,8.78,33.72
5,9.08,42.906,2,9.01,42.476,3,9.07,42.708,1,8.88,42.419,4,9.11,42.830
