Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Caroline TRUCHON POSITION,Caroline TRUCHON LAP TIME,Caroline TRUCHON ELAPSED TIME
1,12.77,12.77,2,12.91,12.91,4,13.12,13.12,5,13.33,13.33,3,13.02,13.02
1,9.81,22.58,2,9.75,22.66,4,9.74,22.86,5,9.70,23.03,3,9.75,22.77
2,9.73,32.31,1,9.60,32.26,4,9.69,32.55,5,9.67,32.70,3,9.69,32.46
3,9.80,42.11,1,9.73,41.99,4,9.70,42.25,5,9.69,42.39,2,9.63,42.09
5,10.18,52.29,1,9.56,51.55,3,9.58,51.83,4,9.70,52.09,2,9.57,51.66
5,9.91,1:02.20,1,9.58,1:01.13,3,9.54,1:01.37,4,9.82,1:01.91,2,9.56,1:01.22
5,10.15,1:12.35,1,9.58,1:10.71,3,9.54,1:10.91,4,9.85,1:11.76,2,9.58,1:10.80
5,10.71,1:23.06,1,9.71,1:20.42,3,9.75,1:20.66,4,10.43,1:22.19,2,9.71,1:20.51
5,11.12,1:34.178,1,9.89,1:30.307,3,10.05,1:30.706,4,11.15,1:33.334,2,9.97,1:30.479
