TALABOS Attila POSITION,TALABOS Attila LAP TIME,TALABOS Attila ELAPSED TIME,IVLIEV Konstantin POSITION,IVLIEV Konstantin LAP TIME,IVLIEV Konstantin ELAPSED TIME,Jasper BRUNSMANN POSITION,Jasper BRUNSMANN LAP TIME,Jasper BRUNSMANN ELAPSED TIME,VOLCKAERT Robbe POSITION,VOLCKAERT Robbe LAP TIME,VOLCKAERT Robbe ELAPSED TIME
1,12.82,12.82,3,12.95,12.95,2,12.86,12.86,4,13.09,13.09
2,10.46,23.28,3,10.43,23.38,1,10.35,23.21,4,10.38,23.47
3,10.72,34.00,2,10.54,33.92,1,10.70,33.91,4,10.63,34.10
3,9.81,43.81,1,9.75,43.67,2,9.83,43.74,4,9.87,43.97
3,9.34,53.15,1,9.23,52.90,2,9.28,53.02,4,9.38,53.35
3,9.01,1:02.16,1,9.04,1:01.94,2,9.00,1:02.02,4,9.37,1:02.72
3,9.01,1:11.17,1,9.01,1:10.95,2,9.02,1:11.04,4,9.73,1:12.45
3,9.14,1:20.31,1,9.20,1:20.15,2,9.20,1:20.24,4,10.11,1:22.56
3,9.48,1:29.781,1,9.52,1:29.67,2,9.51,1:29.75,4,10.43,1:32.960
