Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME
1,13.19,13.19,2,13.29,13.29,3,13.38,13.38,4,13.39,13.39
2,10.05,23.24,3,10.06,23.35,4,10.06,23.44,1,9.65,23.04
2,9.72,32.96,3,9.71,33.06,4,9.77,33.21,1,9.84,32.88
3,9.42,42.38,2,9.32,42.38,4,9.38,42.59,1,9.43,42.31
3,9.33,51.71,1,9.14,51.52,4,9.25,51.84,2,9.25,51.56
2,9.22,1:00.93,1,9.37,1:00.89,4,29.55,1:21.39,3,9.49,1:01.05
1,9.20,1:10.13,2,9.35,1:10.24,4,18.38,1:39.77,3,9.42,1:10.47
1,9.55,1:19.68,2,9.53,1:19.77,4,12.93,1:52.70,3,9.47,1:19.94
3,9.91,1:29.586,1,9.58,1:29.346,4,11.41,2:04.109,2,9.58,1:29.516
